x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,y
-0.92216532,1.87679581,0.75698862,0.27996863,0.72576662,0.48100923,1.35563786,-1.24465470,0.41343490,0.86960592,0.65436566,-1.12548905,2.44575198,0.12922118,0.22388402,1.49604431,-0.77378920,-0.05558467,0.10939479,-1.77872025,97.03738728
0.57929150,-0.15852957,-0.01530985,-1.37190114,1.03990469,-0.60561554,-0.97306894,-0.93326796,1.19657150,0.11958037,-0.17294606,-1.61356140,1.47117033,-0.20932368,1.82600971,-0.88480271,-0.02730454,1.71170848,-0.66907274,-0.44328225,95.19714010
0.87245733,-1.07008477,-1.28030440,-1.25153942,0.45675322,0.56976728,-0.09917586,-0.69190807,1.84663700,0.65020118,-0.24123606,1.44376460,-0.08215118,1.11729583,0.44770856,0.24333945,-1.52552517,0.35205540,0.34272535,-0.04558602,124.62206717
-0.48791141,0.29929258,0.67792587,2.01338725,-0.97161404,1.20041391,-0.60571492,1.56151120,0.74209537,2.15730821,0.45997214,0.13653533,-0.36532155,0.18468031,-0.65689428,-0.75341787,1.30174129,-0.67771537,-1.34712629,0.03200415,153.56859352
1.53273891,-0.40122047,0.51934651,1.45114361,0.18334201,2.18980293,0.40171172,0.01259240,0.69014399,-0.10876015,0.02451017,0.95927083,2.15318246,-0.76734756,-0.80829829,-0.77300978,0.22409248,0.49799829,0.87232064,0.09767610,72.29760270
-0.74721168,-0.28132756,-0.02136729,0.29355793,1.16473935,-0.73459158,0.88404540,0.51593922,0.73684390,-2.42424026,0.79426468,-1.35658180,0.46642998,-0.03564148,-0.81025244,-0.52905268,0.06699072,-1.25428942,-1.61513182,-1.56254586,-49.32282896
0.35711257,-0.50175704,-0.21967189,-0.70205309,0.26105527,0.00511346,-0.51827022,0.32875111,-0.80849360,1.47789404,0.09707755,-0.32766215,-0.39210815,-1.46351495,-0.23458713,0.51326743,0.91540212,0.96864499,0.29612028,-0.52976020,-11.58149995
0.30982071,-0.12982070,-1.18759842,-0.08828205,-0.55358824,0.56898308,0.41379910,-0.14700200,-0.18528766,0.63377688,-0.55749179,2.57970934,-0.80367457,1.63911681,1.62839662,2.21052300,0.04381147,-1.36980298,1.67770081,0.96387912,-27.01731806
1.61558282,0.28016116,0.96485163,-0.43638589,1.59864717,0.56091945,-0.59246426,0.42406104,-0.02640576,-1.23434887,0.54628425,-0.10960980,-0.08836296,-0.37001103,-0.29548032,-0.01445227,-0.80960352,0.00642227,-0.25879606,-0.47383935,-9.24295838
-0.57370000,0.43632367,0.52283549,0.39922312,-1.46437488,0.22445182,2.14227036,0.12003133,1.72754317,-0.02435459,-0.25737654,0.64719594,-0.48318646,1.57398676,1.04709830,-1.02279257,0.03800348,-1.66858407,-1.22576566,0.61351797,191.30924211
0.24368721,0.23204994,-0.82222040,0.85765962,-0.28865864,0.32271856,-0.50694318,-1.40746377,-0.47103831,0.24496657,0.31090757,-0.15993853,-0.01901621,-1.00252936,-0.82723094,-0.21344715,-1.44808434,1.47535622,-0.01851314,-0.71844422,-60.68394746
0.52969275,-1.97546657,0.05664992,-0.21344287,-0.30246969,-0.38817682,0.48650164,-0.14408756,0.06447441,-0.07049878,1.53075083,1.49072614,0.14866746,-0.33708597,0.17041622,0.59992873,-0.93933539,1.21876185,-0.61340266,-1.20969474,19.17716846
1.77225160,0.46877426,-0.02751491,-0.87798259,-0.80317895,1.49268857,-0.45709626,0.30179190,-0.60221206,1.66125921,-0.10015408,-0.82688035,-0.22647889,0.36736551,-0.27112360,1.22693322,-0.99838544,-0.20367375,0.91358463,0.76608028,13.53024964
0.12200981,-0.70317643,-0.57563783,0.63240774,-0.24751864,-0.07443343,-0.09605990,1.77080064,1.14927333,2.56008454,0.70775194,0.97255445,0.62180996,-1.57022472,0.62067210,1.81244856,-0.03498849,-0.56246678,-0.72713718,-0.62696706,146.93761639
