bus_id,temperature,vibration,speed,fuel_consumption,load,outlier_type,is_failure,timestamp
30,65.56,18.26,41.1,38.06,50.36,normal,0,2024-01-21 01:42:00
2,74.02,25.24,32.78,33.07,62.53,normal,0,2024-05-30 18:04:00
29,81.81,20.31,30.07,32.91,28.47,normal,0,2024-11-16 03:47:00
74,75.9,14.9,32.42,40.43,39.4,normal,0,2024-10-08 08:08:00
98,65.98,11.97,19.71,30.07,25.19,normal,0,2024-03-26 10:03:00
71,90.14,16.87,12.54,36.86,40.03,normal,0,2024-11-24 19:35:00
74,87.7,19.58,53.03,38.92,53.14,normal,0,2024-11-19 22:10:00
9,63.9,14.92,46.56,35.24,37.11,normal,0,2024-12-21 09:41:00
84,74.49,23.89,43.6,34.15,39.11,normal,0,2024-06-09 18:37:00
25,73.39,18.26,28.8,28.27,51.47,normal,0,2024-03-31 01:30:00
85,85.78,10.99,18.2,36.69,49.11,normal,0,2024-05-14 21:22:00
56,67.27,17.83,31.76,32.46,41.1,normal,0,2024-05-18 08:54:00
4,78.93,18.73,19.43,32.05,32.8,normal,0,2024-10-03 07:58:00
6,66.4,11.18,44.66,26.2,60.21,normal,0,2024-03-13 22:37:00
66,73.35,14.26,21.15,32.46,57.62,normal,0,2024-12-19 05:32:00
71,73.44,16.07,43.34,30.09,83.62,normal,0,2024-01-14 01:23:00
75,61.17,22.01,32.26,31.3,44.48,normal,0,2024-03-03 17:44:00
27,98.18,40.81,15.03,47.24,44.24,real_anomaly,1,2024-07-03 13:33:00
62,73.23,19.48,29.35,34.54,82.67,normal,0,2024-09-14 16:57:00
79,99.41,13.6,55.3,41.73,53.79,normal,0,2024-10-15 00:23:00
76,-29.12,242.94,-10.47,-25.76,169.08,sensor_error,0,2024-09-19 22:51:00
1,61.55,15.3,20.39,43.89,36.6,normal,0,2024-02-18 15:41:00
100,71.85,12.06,32.34,39.92,36.96,normal,0,2024-03-30 22:52:00
18,75.84,14.69,35.1,35.9,43.8,normal,0,2024-08-30 00:47:00
61,83.58,14.43,59.86,28.19,10.0,normal,0,2024-01-07 21:09:00
92,97.56,48.49,35.34,53.03,49.77,real_anomaly,1,2024-04-05 03:54:00
17,80.69,10.48,45.43,28.04,22.1,normal,0,2024-05-13 05:39:00
18,78.05,20.25,36.38,40.95,59.25,normal,0,2024-08-21 23:19:00
38,90.22,8.19,44.53,34.91,36.09,normal,0,2024-11-06 10:57:00
36,81.27,22.65,41.18,23.72,60.3,normal,0,2024-09-20 23:50:00
35,81.96,16.54,24.0,28.46,52.45,normal,0,2024-01-27 19:22:00
63,78.67,14.26,30.69,24.04,55.88,normal,0,2024-07-28 19:40:00
84,65.48,13.21,22.59,29.09,43.91,normal,0,2024-03-28 10:55:00
88,77.65,14.87,40.16,35.91,38.16,normal,0,2024-07-03 06:53:00
19,86.83,15.61,49.47,36.19,33.06,normal,0,2024-05-09 21:53:00
93,79.01,17.93,19.43,36.28,42.78,normal,0,2024-11-24 14:41:00
81,71.78,11.18,37.77,36.57,56.1,normal,0,2024-10-15 05:11:00
16,89.39,14.93,28.51,33.35,62.42,normal,0,2024-09-19 13:53:00
34,85.84,23.68,56.25,31.16,46.65,normal,0,2024-03-02 15:59:00
92,73.23,14.07,39.02,36.86,56.64,normal,0,2024-07-15 07:21:00
22,61.5,8.42,49.74,33.81,31.54,normal,0,2024-03-04 12:18:00
80,67.95,9.8,42.66,41.69,34.9,normal,0,2024-04-20 04:44:00
17,76.24,24.57,38.37,39.87,46.94,normal,0,2024-06-03 11:06:00
83,84.38,14.89,36.26,35.58,30.53,normal,0,2024-10-16 01:00:00
29,78.64,23.74,24.12,25.75,28.4,normal,0,2024-02-03 17:51:00
47,79.93,24.95,54.2,35.57,68.49,normal,0,2024-04-03 08:56:00
79,69.54,14.36,42.39,47.43,40.83,normal,0,2024-07-11 03:23:00
38,75.23,15.75,53.12,39.15,54.63,normal,0,2024-07-21 10:42:00
69,81.78,16.23,36.7,24.82,12.14,normal,0,2024-02-03 11:48:00
70,76.82,12.44,32.4,33.71,46.18,normal,0,2024-05-11 21:45:00
67,89.9,10.66,35.91,40.21,27.38,normal,0,2024-12-03 12:05:00
62,86.68,21.63,43.47,34.88,48.33,normal,0,2024-10-04 16:24:00
5,67.92,12.09,19.66,40.07,61.34,normal,0,2024-12-09 08:24:00
93,75.95,22.33,54.84,37.19,42.27,normal,0,2024-02-04 19:14:00
83,83.08,21.11,55.95,28.42,51.71,normal,0,2024-03-16 19:28:00
10,73.33,21.3,44.19,32.36,50.51,normal,0,2024-05-15 21:36:00
100,79.7,20.04,39.02,32.44,44.11,normal,0,2024-11-03 00:43:00
